,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,8,2019-07-29 11:14:30,41.5884,-70.0973,14.0,2.0,0.225,2187.0,6.0
1,8,2019-07-10 11:28:00,41.4948,-70.1953,17.0,2.0,0.275,2156.0,7.0
2,8,2019-07-03 10:30:00,41.5653,-70.1375,12.0,1.0,0.375,1732.0,11.0
3,8,2019-07-08 13:31:30,41.4998,-70.1826,18.0,1.0,0.050,1930.0,3.0
4,8,2019-07-25 13:33:30,41.5734,-70.118,14.0,2.0,0.925,2043.0,18.0
5,8,2019-07-10 13:03:30,41.4932,-70.1607,13.0,2.0,1.075,2050.0,53.0
6,8,2019-07-31 16:12:00,41.4899,-70.1623,13.0,2.0,0.875,2422.0,5.0
7,8,2019-07-31 12:30:30,41.4087,-70.2415,24.0,1.0,0.200,2311.0,4.0
8,8,2019-07-23 13:26:30,41.5717,-70.1118,11.0,2.0,1.025,2025.0,28.0
9,8,2019-07-10 15:13:30,41.5749,-70.1651,16.0,1.0,0.050,1916.0,2.0
10,8,2019-07-03 11:32:30,41.588,-70.1033,14.0,2.0,0.375,1650.0,10.0
11,8,2019-07-11 14:26:00,41.5214,-70.1444,12.0,1.0,0.400,2086.0,4.0
12,8,2019-07-01 14:22:30,41.5025,-70.1962,18.0,2.0,0.100,1993.0,1.0
13,8,2019-07-18 11:09:30,41.571,-70.1181,12.0,1.0,0.975,2070.0,23.0
14,8,2019-07-24 13:08:30,41.5929,-70.1084,13.0,1.0,0.075,1998.0,1.0
15,8,2019-07-15 15:21:31,41.5141,-70.1504,13.0,2.0,1.475,2203.0,31.0
16,8,2019-07-09 14:12:00,41.4973,-70.1752,15.0,1.0,0.125,1900.0,14.0
17,8,2019-07-25 11:12:00,41.587,-70.0989,14.0,1.0,0.425,2058.0,13.0
18,8,2019-07-24 11:11:00,41.5679,-70.1198,13.0,2.0,1.100,2115.0,71.0
19,8,2019-07-14 16:23:30,41.493,-70.1592,13.0,2.0,0.925,2163.0,24.0
20,8,2019-07-30 13:40:00,41.5685,-70.1265,13.0,2.0,0.775,2249.0,39.0
21,8,2019-07-08 15:47:00,41.4928,-70.158,11.0,2.0,1.525,1661.0,94.0
22,8,2019-07-11 12:00:00,41.4931,-70.2124,15.0,1.0,0.075,2198.0,1.0
23,8,2019-07-14 12:14:00,41.491,-70.2301,15.0,3.0,0.850,2235.0,2.0
24,8,2019-07-01 15:27:30,41.4891,-70.217,15.0,1.0,0.550,2004.0,11.0
25,8,2019-07-03 15:47:30,41.5016,-70.1984,17.0,3.0,0.075,2014.0,2.0
26,8,2019-07-23 15:06:30,41.5823,-70.1231,16.0,1.0,0.125,1994.0,5.0
