,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,8,2018-11-12 13:51:30,42.2901,-70.3135,40.0,6.0,0.800,1047.0,4.0
1,8,2018-11-12 16:07:30,42.2882,-70.314,41.0,6.0,1.300,1043.0,3.0
2,8,2018-11-12 19:41:30,42.2763,-70.313,42.0,3.0,1.175,1041.0,2.0
3,11,2018-11-25 03:56:30,42.2038,-70.1046,76.0,12.0,0.500,782.0,27.0
4,11,2018-11-04 21:20:15,40.7862,-71.3435,61.0,3.0,2.550,1320.0,50.0
5,11,2018-11-24 04:51:45,42.2968,-70.3135,42.0,7.0,1.425,906.0,6.0
6,11,2018-11-24 19:14:36,42.354,-70.3488,78.0,11.0,0.500,902.0,3.0
7,11,2018-11-06 10:51:05,40.7823,-71.4311,62.0,5.0,3.075,1304.0,16.0
8,11,2018-11-24 23:08:34,42.1875,-70.0964,59.0,9.0,1.050,907.0,10.0
9,11,2018-11-05 04:21:38,40.8319,-71.1025,58.0,4.0,3.025,1454.0,22.0
10,11,2018-11-06 12:54:49,40.737,-71.5172,65.0,4.0,1.375,1278.0,7.0
11,11,2018-11-25 07:45:51,42.2116,-70.1099,78.0,13.0,2.300,776.0,7.0
12,11,2018-11-11 10:15:59,39.9181,-73.0603,61.0,9.0,1.800,1403.0,6.0
13,11,2018-11-24 09:46:25,42.3166,-70.3253,51.0,6.0,0.225,911.0,0.0
14,11,2018-11-30 09:51:31,41.5273,-68.7123,144.0,23.0,4.625,777.0,12.0
15,11,2018-11-05 11:27:52,40.8393,-71.1058,60.0,3.0,2.900,1452.0,15.0
16,11,2018-11-30 19:13:03,41.6478,-68.4966,151.0,24.0,3.125,808.0,4.0
17,11,2018-11-06 00:41:20,40.8313,-71.144,60.0,4.0,2.525,1439.0,31.0
18,11,2018-11-05 15:03:57,40.8182,-71.2062,59.0,3.0,2.900,1450.0,22.0
19,11,2018-11-06 07:10:35,40.8114,-71.264,61.0,2.0,2.450,1423.0,33.0
20,11,2018-11-05 07:51:12,40.8262,-71.1217,59.0,5.0,2.925,1453.0,17.0
21,11,2018-11-30 23:36:10,41.6445,-68.4889,145.0,23.0,3.350,800.0,2.0
22,11,2018-11-07 08:55:16,39.9598,-73.1487,66.0,8.0,0.775,1403.0,9.0
23,11,2018-11-24 03:10:21,42.2999,-70.3148,40.0,5.0,1.875,913.0,10.0
24,11,2018-11-06 04:05:40,40.8382,-71.0926,58.0,4.0,2.825,1470.0,5.0
25,11,2018-11-05 21:32:41,40.8268,-71.1543,60.0,4.0,2.275,1434.0,32.0
26,11,2018-11-11 10:57:32,39.8972,-73.035,56.0,3.0,0.150,1393.0,7.0
27,11,2018-11-30 14:39:24,41.5559,-68.5483,120.0,6.0,1.025,778.0,1.0
28,11,2018-11-06 20:04:38,40.3234,-71.9308,65.0,5.0,2.175,1266.0,5.0
29,11,2018-11-05 00:39:46,40.7924,-71.3136,61.0,6.0,2.675,1308.0,48.0
30,11,2018-11-05 18:41:44,40.8352,-71.1026,59.0,3.0,2.650,1434.0,37.0
31,11,2018-11-11 06:57:34,39.9686,-73.1751,63.0,10.0,1.850,1390.0,11.0
32,11,2018-12-09 18:34:56,42.0326,-67.7884,180.0,21.0,4.775,835.0,16.0
33,11,2018-12-08 15:16:16,41.6562,-68.5411,169.0,26.0,2.975,782.0,1.0
34,11,2018-12-11 09:22:54,41.7951,-68.4512,211.0,15.0,6.175,909.0,26.0
35,11,2018-12-03 09:01:42,41.8003,-68.4468,211.0,16.0,5.050,936.0,9.0
36,11,2018-12-02 02:42:14,41.6446,-68.5731,159.0,24.0,4.050,798.0,2.0
37,11,2018-12-09 08:44:49,41.9845,-67.8707,165.0,27.0,3.700,798.0,10.0
38,11,2018-12-10 19:50:44,41.8132,-68.4487,215.0,31.0,3.775,930.0,10.0
39,11,2018-12-02 09:24:32,41.686,-68.4516,161.0,8.0,0.975,795.0,1.0
40,11,2018-12-08 17:51:01,41.7012,-68.4196,138.0,17.0,2.000,788.0,5.0
41,11,2018-12-20 17:17:40,41.0104,-71.2934,47.0,5.0,3.175,977.0,9.0
42,11,2018-12-03 03:02:23,41.7996,-68.4406,213.0,25.0,4.800,936.0,11.0
43,11,2018-12-10 09:23:36,41.8078,-68.4414,214.0,32.0,7.125,936.0,17.0
44,11,2018-12-04 00:58:08,41.6406,-68.5576,159.0,26.0,4.125,789.0,4.0
45,11,2018-12-03 14:33:16,41.8015,-68.4478,213.0,16.0,4.850,928.0,17.0
46,11,2018-12-01 16:53:49,41.7059,-68.4113,133.0,20.0,2.150,802.0,6.0
47,11,2018-12-20 01:11:10,40.9168,-71.3299,56.0,4.0,1.600,1006.0,3.0
48,11,2018-12-16 03:38:10,41.6219,-68.5384,150.0,23.0,4.025,789.0,4.0
49,11,2018-12-09 13:12:43,42.0685,-67.6878,174.0,27.0,3.550,864.0,41.0
50,11,2018-12-04 06:48:10,41.6419,-68.5722,158.0,26.0,5.150,786.0,7.0
51,11,2018-12-15 05:17:01,41.6315,-68.5533,158.0,26.0,7.025,788.0,2.0
52,11,2018-12-14 21:35:38,41.622,-68.5338,152.0,23.0,3.950,793.0,7.0
53,11,2018-12-02 07:45:59,41.6762,-68.5223,171.0,26.0,4.425,792.0,8.0
54,11,2018-12-11 02:32:11,41.8063,-68.4653,211.0,30.0,5.975,927.0,9.0
55,11,2018-12-16 08:40:08,41.5238,-68.7025,141.0,22.0,3.650,786.0,10.0
56,11,2018-12-14 11:27:34,41.6281,-68.5461,154.0,23.0,3.750,787.0,1.0
57,11,2018-12-07 12:00:04,41.5289,-68.7036,143.0,23.0,4.300,774.0,12.0
58,11,2018-12-02 15:56:22,41.8506,-68.1643,149.0,22.0,2.875,802.0,6.0
59,11,2018-12-01 14:06:41,41.6506,-68.4904,146.0,24.0,4.250,799.0,2.0
60,11,2018-12-08 22:19:59,41.8182,-68.2433,143.0,22.0,3.200,789.0,5.0
61,11,2018-12-04 13:25:55,41.6385,-68.5704,156.0,25.0,5.825,789.0,5.0
62,11,2018-12-01 21:57:46,41.6558,-68.5545,164.0,26.0,4.225,799.0,3.0
63,11,2018-12-15 16:54:34,41.6273,-68.4909,151.0,24.0,3.175,790.0,4.0
64,11,2018-12-20 06:10:09,40.8155,-71.1818,60.0,4.0,3.750,1014.0,5.0
65,11,2018-12-04 18:41:32,41.513,-68.7072,139.0,18.0,3.675,778.0,5.0
66,11,2018-12-03 20:05:39,41.766,-68.407,202.0,31.0,1.975,915.0,40.0
67,11,2018-12-08 10:09:47,41.6115,-68.5405,154.0,24.0,2.825,783.0,2.0
68,11,2018-12-08 03:48:51,41.6128,-68.4861,157.0,25.0,2.600,784.0,5.0
69,11,2018-12-15 21:15:43,41.6204,-68.538,152.0,23.0,2.350,796.0,15.0
70,11,2018-12-20 11:12:41,40.9877,-70.9455,49.0,6.0,3.175,835.0,62.0
71,11,2018-12-07 17:55:47,41.6117,-68.5323,156.0,19.0,4.800,784.0,2.0
72,11,2018-12-11 16:50:53,41.7949,-68.4191,213.0,17.0,6.850,928.0,17.0
73,11,2018-12-01 04:52:20,41.6619,-68.5335,170.0,28.0,3.425,799.0,9.0
74,11,2018-12-15 11:39:49,41.6188,-68.5278,147.0,20.0,5.275,806.0,10.0
75,11,2018-12-09 23:13:50,41.9235,-67.9994,163.0,25.0,3.725,794.0,15.0
76,11,2018-12-02 12:02:37,41.7569,-68.3575,145.0,24.0,1.900,798.0,3.0
77,11,2018-12-10 15:14:30,41.7889,-68.4343,213.0,12.0,4.950,933.0,13.0
78,11,2018-12-07 22:14:21,41.6276,-68.5522,153.0,24.0,3.200,784.0,3.0
79,11,2018-12-14 16:42:06,41.6244,-68.5465,154.0,24.0,4.550,788.0,2.0
80,11,2018-12-19 22:02:34,41.0035,-71.3515,48.0,4.0,2.925,950.0,18.0
81,11,2018-12-02 21:24:51,41.8792,-68.2901,222.0,18.0,4.125,971.0,10.0
82,11,2018-12-09 04:11:00,41.8995,-68.0454,149.0,23.0,4.425,803.0,14.0
83,11,2018-12-01 09:16:14,41.6608,-68.4875,161.0,19.0,3.750,801.0,2.0
84,11,2018-10-03 17:13:47,41.2655,-68.8486,100.0,4.0,0.750,799.0,5.0
85,11,2018-10-04 07:08:53,41.547,-68.6873,142.0,18.0,4.950,658.0,3.0
86,11,2018-10-26 09:35:06,39.9031,-73.0454,66.0,11.0,2.500,1239.0,7.0
87,11,2018-10-19 16:13:37,39.8643,-72.2889,84.0,10.0,1.000,1284.0,1.0
88,11,2018-10-04 20:26:59,41.647,-68.4957,154.0,24.0,2.025,680.0,5.0
89,11,2018-10-26 05:34:35,39.7894,-72.8726,69.0,11.0,3.150,1241.0,5.0
90,11,2018-10-03 14:50:16,41.2577,-68.8684,100.0,12.0,1.150,815.0,22.0
91,11,2018-10-13 01:15:14,39.9844,-73.2935,62.0,10.0,1.200,1263.0,5.0
92,11,2018-10-03 20:24:03,41.2668,-68.8595,102.0,3.0,1.075,842.0,4.0
93,11,2018-10-20 22:21:57,39.7955,-72.2511,91.0,5.0,4.625,1294.0,27.0
94,11,2018-10-11 22:29:40,39.7527,-72.3188,94.0,6.0,3.650,1272.0,14.0
95,11,2018-10-18 19:14:22,39.9495,-72.3421,76.0,11.0,3.700,1242.0,19.0
96,11,2018-10-29 00:47:19,39.7285,-72.722,71.0,4.0,1.550,1366.0,12.0
97,11,2018-10-04 22:45:33,41.6719,-68.4542,150.0,14.0,0.175,693.0,9.0
98,11,2018-10-18 22:38:46,39.9115,-72.3206,78.0,9.0,2.775,1264.0,11.0
99,11,2018-10-24 14:21:57,39.9683,-72.3639,74.0,8.0,3.100,1248.0,8.0
100,11,2018-10-03 15:42:24,41.2535,-68.8732,100.0,2.0,0.525,796.0,7.0
101,11,2018-10-17 22:35:14,39.9627,-72.3348,76.0,11.0,2.850,1215.0,19.0
102,11,2018-10-13 03:43:13,39.9844,-73.2835,61.0,8.0,1.525,1259.0,5.0
103,11,2018-10-09 13:29:28,39.8353,-72.1026,95.0,6.0,2.750,1283.0,3.0
104,11,2018-10-03 21:21:39,41.2643,-68.8591,101.0,2.0,0.600,851.0,3.0
105,11,2018-10-11 18:11:15,39.76,-72.2798,95.0,14.0,3.425,1278.0,8.0
106,11,2018-10-12 20:48:17,39.9645,-73.1681,64.0,10.0,1.150,1260.0,9.0
107,11,2018-10-12 08:01:57,39.8333,-72.9116,64.0,2.0,0.775,1181.0,5.0
108,11,2018-10-19 14:33:47,39.9296,-72.3198,78.0,10.0,3.500,1276.0,13.0
109,11,2018-10-12 22:54:23,39.9724,-73.1779,63.0,10.0,1.300,1266.0,5.0
110,11,2018-10-11 14:09:05,39.721,-72.3698,96.0,3.0,3.375,1279.0,6.0
111,11,2018-10-29 20:47:42,39.797,-72.2341,93.0,11.0,2.000,1296.0,3.0
112,11,2018-10-29 17:54:25,39.7819,-72.4197,83.0,10.0,3.200,1235.0,22.0
113,11,2018-10-10 17:40:00,39.7352,-72.3184,97.0,9.0,3.825,1279.0,7.0
114,11,2018-10-10 20:33:04,39.7418,-72.3026,96.0,4.0,2.275,1286.0,2.0
115,11,2018-10-05 04:56:08,41.8062,-68.4316,213.0,24.0,4.650,890.0,8.0
116,11,2018-10-29 13:58:58,39.7259,-72.5339,77.0,7.0,2.900,1321.0,41.0
117,11,2018-10-13 06:37:06,39.9739,-73.1719,58.0,9.0,1.350,1275.0,4.0
118,11,2018-10-25 22:42:39,39.7071,-72.6104,76.0,10.0,2.550,1252.0,6.0
119,11,2018-10-04 10:52:52,41.6396,-68.4981,148.0,24.0,1.975,687.0,5.0
120,11,2018-10-17 15:39:05,39.9623,-72.3556,74.0,8.0,2.300,1197.0,7.0
121,11,2018-10-20 13:01:27,39.7952,-72.237,93.0,6.0,1.950,1288.0,23.0
122,11,2018-10-24 17:37:57,39.9472,-72.3786,72.0,5.0,2.675,1248.0,9.0
123,11,2018-10-05 14:44:29,41.6643,-68.4635,150.0,22.0,2.400,706.0,15.0
124,11,2018-10-25 13:18:09,39.6923,-72.5178,81.0,4.0,2.000,1262.0,7.0
125,11,2018-10-10 12:22:55,39.5535,-72.3761,152.0,24.0,1.025,1252.0,14.0
126,11,2018-10-04 13:08:20,41.6446,-68.4827,141.0,10.0,1.850,689.0,4.0
127,11,2018-10-13 08:39:24,39.9833,-73.2001,57.0,9.0,1.450,1273.0,5.0
128,11,2018-10-05 17:15:59,41.6303,-68.5044,142.0,11.0,1.775,700.0,9.0
129,11,2018-10-19 18:17:25,39.8283,-72.374,81.0,5.0,0.875,1243.0,3.0
