,vessel,datet,lat,lon,depth,depth_range,hours,mean_temp,std_temp
0,Vessel_11,2018-09-15 13:03:09,41.8385,-67.9171,50.0,8.0,3.2,13.32,0.57
1,Vessel_11,2018-09-15 16:35:24,41.8424,-67.9178,52.0,8.0,2.925,12.74,0.75
2,Vessel_11,2018-09-18 13:59:05,41.9851,-67.7393,60.0,4.0,1.1,9.23,0.19
3,Vessel_11,2018-10-09 13:29:28,39.8353,-72.1026,95.0,6.0,2.75,12.83,0.03
4,Vessel_11,2018-10-20 13:01:27,39.7952,-72.237,93.0,6.0,1.95,12.88,0.23
5,Vessel_11,2018-10-20 17:07:07,39.7717,-72.2786,94.0,5.0,3.35,12.8,0.19
6,Vessel_11,2018-10-20 22:21:57,39.7955,-72.2511,91.0,5.0,4.625,12.94,0.27
7,Vessel_21,2018-11-01 11:31:50,43.227,-69.3479,113.0,11.0,2.05,9.02,0.08
8,Vessel_21,2018-11-01 17:30:49,42.8895,-68.8139,189.0,20.0,1.825,8.11,0.02
9,Vessel_21,2018-11-06 01:14:38,42.1722,-69.9112,108.0,14.0,2.525,7.73,0.02
10,Vessel_8,2018-11-12 13:51:30,42.2901,-70.3135,40.0,6.0,0.8,10.47,0.04
11,Vessel_20,2018-12-14 03:28:30,43.0126,-69.30199999999999,193.0,32.0,6.125,8.36,0.06
12,Vessel_20,2018-12-14 11:33:30,43.0081,-69.3353,197.0,33.0,7.175,8.34,0.02
13,Vessel_20,2018-12-14 19:27:30,43.0223,-69.2337,197.0,32.0,6.825,8.36,0.02
14,Vessel_11,2018-12-20 06:10:09,40.8155,-71.1818,60.0,4.0,3.75,10.14,0.05
15,Vessel_24,2018-12-20 18:01:00,42.6817,-70.2962,138.0,22.0,1.2,7.93,0.0
16,Vessel_23,2018-12-21 09:18:00,40.5027,-71.6059,77.0,7.0,272.125,12.95,1.14
17,Vessel_20,2018-12-31 13:26:30,43.0227,-69.2602,192.0,31.0,7.45,8.52,0.02
18,Vessel_20,2018-12-31 21:18:30,43.0251,-69.2542,193.0,32.0,7.1,8.52,0.02
19,Vessel_20,2019-01-03 12:14:00,42.9685,-69.954,214.0,21.0,7.275,8.19,0.11
20,Vessel_20,2019-01-03 20:00:00,42.9242,-69.9307,219.0,20.0,6.975,8.25,0.08
21,Vessel_20,2019-01-04 03:54:30,42.9407,-69.9225,218.0,29.0,7.1,8.19,0.09
22,Vessel_20,2019-01-04 14:01:30,42.9281,-69.9298,213.0,23.0,7.275,8.1,0.1
23,Vessel_20,2019-01-04 21:57:30,42.9184,-69.9422,210.0,33.0,7.175,8.03,0.06
24,Vessel_20,2019-01-05 08:27:30,42.9544,-69.9265,220.0,31.0,9.775,8.02,0.04
25,Vessel_23,2019-01-10 18:37:30,40.503,-71.6022,77.0,2.0,488.4,11.33,1.02
26,Vessel_20,2019-01-18 15:31:00,43.0089,-69.3041,195.0,32.0,6.875,8.32,0.04
27,Vessel_20,2019-01-18 22:47:00,42.9988,-69.311,193.0,32.0,6.475,8.31,0.04
28,Vessel_20,2019-01-19 06:59:30,43.6514,-70.2543,192.0,32.0,7.45,8.31,0.05
29,Vessel_23,2019-01-26 14:24:30,40.366,-71.7218,78.0,6.0,378.925,9.67,1.31
30,Vessel_11,2019-02-03 13:11:40,39.5403,-72.3365,166.0,22.0,0.65,12.81,0.15
31,Vessel_11,2019-02-07 07:50:00,39.0818,-72.7394,151.0,25.0,3.575,13.22,0.08
32,Vessel_11,2019-02-07 12:39:37,39.0407,-72.7897,154.0,23.0,0.425,12.54,0.13
33,Vessel_11,2019-02-07 17:53:03,38.9427,-72.8677,175.0,24.0,1.35,13.01,0.18
34,Vessel_20,2019-02-11 12:08:30,42.9537,-69.9393,210.0,30.0,5.575,8.09,0.02
35,Vessel_23,2019-02-11 14:18:30,40.3433,-71.64699999999998,83.0,3.0,382.45,10.61,1.57
36,Vessel_20,2019-02-11 18:47:00,42.952,-69.9475,206.0,33.0,5.875,8.09,0.02
37,Vessel_20,2019-02-12 01:37:00,43.0031,-69.9455,209.0,27.0,6.025,8.1,0.02
38,Vessel_11,2019-02-15 12:32:31,39.9178,-71.653,155.0,21.0,2.95,13.19,0.03
39,Vessel_11,2019-02-15 13:52:19,39.9129,-71.7823,138.0,4.0,0.525,13.08,0.02
40,Vessel_11,2019-02-20 17:06:13,39.9856,-71.7868,99.0,11.0,2.55,12.61,0.22
41,Vessel_23,2019-03-05 16:37:00,40.3418,-71.65,82.0,8.0,529.7,10.91,1.12
42,Vessel_11,2019-03-07 05:55:27,39.4024,-72.3515,147.0,21.0,3.6,13.33,0.09
43,Vessel_26,2019-03-09 07:59:00,42.6077,-70.6612,116.0,15.0,1.8330000000000002,6.69,0.15
44,Vessel_26,2019-03-13 21:05:00,42.8604,-70.1447,86.0,8.0,6.267,4.41,0.09
45,Vessel_11,2019-03-15 18:05:45,42.0791,-69.7917,183.0,24.0,0.8,6.6,0.07
46,Vessel_11,2019-03-15 21:59:43,42.0219,-69.7616,169.0,10.0,2.75,6.81,0.06
47,Vessel_11,2019-03-17 05:24:39,42.2196,-69.7815,212.0,33.0,7.05,7.53,0.31
48,Vessel_20,2019-03-18 12:22:00,43.0269,-69.8745,205.0,26.0,4.075,7.81,0.07
49,Vessel_20,2019-03-18 19:56:00,42.9706,-69.7748,184.0,27.0,6.825,7.14,0.28
50,Vessel_20,2019-03-19 03:41:30,42.9694,-69.8902,216.0,26.0,6.025,7.9,0.08
51,Vessel_20,2019-03-19 11:18:00,42.9463,-69.8624,219.0,19.0,6.35,7.91,0.07
52,Vessel_20,2019-03-19 18:30:30,42.9868,-69.7907,204.0,33.0,6.4,7.57,0.33
53,Vessel_16,2019-03-19 19:44:00,42.1554,-69.6621,219.0,2.0,5.517,7.87,0.06
54,Vessel_21,2019-03-19 22:12:42,42.8517,-70.1424,99.0,9.0,1.575,4.34,0.0
55,Vessel_16,2019-03-20 21:46:00,42.3767,-69.62,219.0,0.0,6.067,7.96,0.07
56,Vessel_11,2019-03-20 23:16:15,42.205,-69.7678,219.0,32.0,3.6,7.6,0.23
