Boat,Vessel#,matched_number,file_number,tele_num,fish_times,max_diff_depth,min_diff_depth,average_diff_depth,max_diff_temp,min_diff_temp,average_diff_temp,min_lat,max_lat,min_lon,max_lon
Mystic,8,0.0,0.0,0.0,0.0,,,,,,,,,,
Ellen_Diane,2,0.0,0.0,22.0,0.0,,,,,,,42.78094,42.86714,-70.66286,-70.65014000000001
Virginia_Marise,3,0.0,0.0,0.0,0.0,,,,,,,,,,
Lisa_Ann_III,5,0.0,0.0,0.0,0.0,,,,,,,,,,
Dyrsten,4,0.0,0.0,0.0,0.0,,,,,,,,,,
Mister_G,6,0.0,0.0,0.0,0.0,,,,,,,,,,
Illusion,9,0.0,0.0,0.0,0.0,,,,,,,,,,
Elizabeth_Katherine,7,0.0,0.0,0.0,5.0,,,,,,,,,,
Sao_Paulo,11,0.0,0.0,0.0,1.0,,,,,,,,,,
BantryBay,12,0.0,0.0,0.0,0.0,,,,,,,,,,
Mary_K,16,0.0,0.0,0.0,0.0,,,,,,,,,,
Linda_Marie,17,0.0,0.0,0.0,0.0,,,,,,,,,,
Wendy_Lee,18,0.0,0.0,0.0,5.0,,,,,,,,,,
Resolve,14,0.0,0.0,1.0,0.0,,,,,,,42.163709999999995,42.163709999999995,-70.28654,-70.28654
Excalibur,19,0.0,0.0,0.0,1.0,,,,,,,,,,
Nicole_Leigh,20,0.0,3.0,1.0,2.0,,,,,,,42.49405333333334,42.58718333333333,-70.38821,-70.27496
Tenacious_II,21,0.0,0.0,0.0,0.0,,,,,,,,,,
Lady_Claire,23,0.0,0.0,0.0,0.0,,,,,,,,,,
Finlander II,24,0.0,0.0,0.0,0.0,,,,,,,,,,
Proud_Mary,25,0.0,0.0,0.0,0.0,,,,,,,,,,
Alicia_Ann,26,0.0,0.0,0.0,0.0,,,,,,,,,,
Tribiah_Lee,27,0.0,0.0,0.0,0.0,,,,,,,,,,
Dawn_T,28,0.0,0.0,0.0,0.0,,,,,,,,,,
Lady_Rebecca,29,0.0,0.0,0.0,0.0,,,,,,,,,,
Finlander_I ,30,0.0,0.0,0.0,0.0,,,,,,,,,,
Fremantle_Doctor,31,0.0,0.0,0.0,0.0,,,,,,,,,,
Lina_Rose,32,0.0,0.0,0.0,0.0,,,,,,,,,,
Dorcas_Anne,33,0.0,0.0,0.0,0.0,,,,,,,,,,
Debbie Sue,34,0.0,0.0,0.0,0.0,,,,,,,,,,
Charger,35,0.0,0.0,0.0,0.0,,,,,,,,,,
Michelle_Jean_II,36,0.0,0.0,0.0,1.0,,,,,,,,,,
Virginia_Marie,37,0.0,0.0,0.0,0.0,,,,,,,,,,
Adie_Alden,38,0.0,0.0,0.0,0.0,,,,,,,,,,
Devocean,39,0.0,0.0,1.0,0.0,,,,,,,44.5843,44.5843,-67.18668000000001,-67.18668000000001
Tina Marie II,40,0.0,0.0,0.0,0.0,,,,,,,,,,
Terri_Ann,41,0.0,0.0,0.0,1.0,,,,,,,,,,
Nathaniel_Lee,42,0.0,0.0,0.0,1.0,,,,,,,,,,
Lery_Charles,43,0.0,0.0,0.0,0.0,,,,,,,,,,
Brooke_C,44,0.0,0.0,0.0,0.0,,,,,,,,,,
Rolex,45,0.0,0.0,0.0,0.0,,,,,,,,,,
Christy,46,0.0,0.0,0.0,0.0,,,,,,,,,,
Adventure,22,0.0,0.0,0.0,0.0,,,,,,,,,,
Flicka,13,0.0,0.0,0.0,0.0,,,,,,,,,,
Lady_Jane - Retired,15,0.0,0.0,0.0,0.0,,,,,,,,,,
Total,,0.0,3.0,25.0,,,,,,,,,,,
tele_total_num,,,,4.0,,,,,,,,,,,
